,News
4602,AT_USER AT_USER AT_USER $ aapl shorts anyone ? 105 ?
4611,$ aapl $ 102 + by end of the week .
4612,"$ aapl - market snapshot : u . s . stocks : s & p , dow edge lower pre-fed minutes ; target drops URL"
4614,"$ aapl : apple , inc . diversity video narrated by new vp of human resources denise ... URL URL"
4618,weekly nasdaq 100 stocks trend $ yhoo $ biib $ avgo $ akam $ ffiv $ mu $ ctrx $ rost $ stx $ nflx $ isrg $ adbe $ aapl $ ilmn @ URL
4631,$ kndi short squeeze coming . cup & handle - $ tsla $ f $ gm $ fb $ mu $ z $ zu $ aa $ bldp $ fslr $ nflx $ scty $ spwr $ ddd $ loco $ exas $ jd $ fcel $ fold $ aapl
4640,"rt AT_USER apple trades above its split-adjusted record close of $ 100.3 set on sept . 19 , 2012 . | $ aapl AT_USER"
4649,"in the money : $ aapl weeklys , $ crm lifts outlook & interview w AT_USER $ expr & jacksonhole AT_USER reports $ $ URL"
4652,option millionaires : uranium-pinto-beans : $ aapl working out great for mr . icahn URL URL
4673,rt AT_USER [ apple inc ] patent 2014023745 7 : application programming interfaces f ... URL $ aapl tech ip URL
4687,tech stocks $ aapl apple daily : -0.64 % weekly : 0.36 % ytd : 27.34 % trend : 55 / 100 URL
4691,"the brilliance if $ aapl ceo cook is his inventory mgmt . if people buy phone or mac instead of tablet , co will manage it"
4696,rt AT_USER report : apple will unveil iphone 6 on tuesday sept . 9 $ aapl URL by AT_USER URL
4716,"stocks with major news : $ jpm , $ aapl , $ dg , $ goog , $ anf , $ ry , $ nyt , $ fdo , $ fb , $ msft , $ gm , $ tef , $ sig , $ pfpt , $ ibm , $ gs"
4725,rt AT_USER the media invitation being sent out by apple today . it's believed the iphone 6 and iwatch will be unveiled . $ aapl URL
4730,consumers spending less ; apple's big reveal ; netflix pays big for ' blacklist ' .. URL $ aapl tech stocks
4744,rt AT_USER active puts @ cboe ; $ spy 10/18 / 14 190 $ eem 9/20 / 14 43 $ aapl 8/ 29/14 102
4759,😂 😂 😂 rt AT_USER 9.9 . 2014 $ aapl URL
4760,AT_USER apple has reached an agreement w american express to work on iphone payments system URL $ aapl mobile
4777,it would be crazy if $ aapl is down today because of the alleged icloud hack . if so i ’ ll be buying .
4784,report : apple signs deal to facilitate mobile payments with iphone 6 ( by AT_USER $ aapl URL URL
4797,s & p100 stocks trend $ nsc $ lly $ vz $ t $ cvx $ so $ nov $ dvn $ exc $ unh $ aep $ amgn $ msft $ gs $ apc $ aapl $ f $ gild @ URL
4805,"sony news : "" sony app upgrade eases shopping while watching your tv - usa today "" URL $ sne $ aapl"
4806,rt AT_USER biggest u . s . tech companies founded by 1st / 2nd gen immigrants : 1 $ aapl 2 $ goog 3 $ ibm 4 $ orcl 5 $ fb 6 $ amzn 7 $ qcom 8 $ emc …
4845,we might see historical low prices on apple in the next 2 years $ aapl URL
4851,"$ aapl at a good entry price after profit taking . major catalyst on september 9 , announcing the highly anticipated iphone 6 w a larger screen"
4852,$ tcco demand for cyber security set to explode as more then 100 celebs hacked of nude photos URL $ aapl $ goog $ fb $ twtr $ t
4861,yesterday's AT_USER most actives $ aapl $ intc discuss on the options forum URL calls puts weekly URL
4869,AT_USER AT_USER AT_USER dali is about essence & metaphorical implications within a surreal world ... dali hearts $ aapl
4872,oppenheimer's apple $ aapl analyst has a positive bias on the company URL via AT_USER
4879,apple's rivals hope its iwatch makes ' wearable ' work URL ( but will you wear it ? ) $ aapl URL
4882,"rt AT_USER what to expect at apple iphone 6 event URL = > tuesday , september 9 $ aapl URL"
4895,"apple to add security alerts for icloud users , ceo says URL vía AT_USER $ aapl"
4898,here ’ s your $ aapl vs $ spy chart breaking its uptrend line on a bearish momentum divergence … URL
4907,really interesting article ! ! $ fb $ aapl $ goog $ tsla $ gpro weekend charts : rally myth busters URL via AT_USER
4908,"5.5 "" ' iphone 6 ' said to launch in limited quantities on sept . 19 alongside 4.7 "" model $ aapl aapl URL"
4911,rt AT_USER $ aapl apple : todo lo que tienes que saber del lanzamiento . URL URL
4940,all eyes are on $ aapl and its new product launches today . there ’ s really only one thing that will drive apple ’ ... URL
4947,"if $ aapl fixes the size and the battery problem , a huge replacement cycle will start early . otherwise , much less . ( forget the iwatch , imo ) ."
4952,$ aapl up 2 % on more than 2x normal volume on news of new phablets . macd crossed both zero and the signal line intraday .
4966,"valuation supports apple shares heading into iphone unveiling , analysts say : URL $ aapl beirut lebanon"
4970,rt AT_USER hey AT_USER hope u got some $ aapl calls . if they come out with more products than expected it could rip threw $ 105 …
4974,rt AT_USER this was apple's first iwatch : URL appleevent $ aapl URL
4984,"AT_USER wow - 1 in 20 have diabetes now , will be 1 in 10 by 2035 . that's why i think $ aapl will see as major opportunity ."
4991,"rt AT_USER lots of celebs showing up , including the original apple evangelist AT_USER $ aapl URL"
4994,AT_USER carlicahn to trish regan : i've been adding to my $ aapl position . where else can you get a growth company at 10x earnings ?
4995,rt AT_USER . AT_USER to me on $ aapl : i've been adding to my $ aapl position . where else can you get a growth company at 10x ear …
5002,$ aapl shares just went negative . s & p down slightly .
5007,rt AT_USER will apple's medical data be safe ? URL healthkit apple mhealth medtech $ aapl URL
5026,"rt AT_USER piper's out with the 1st apple reax . applepay "" the star of the show "" ( via AT_USER $ aapl URL"
5034,rt AT_USER ist die applewatch nicht genug ? die aktie gibt ihre gewinne ab und dreht ins minus . $ aapl URL appl …
5035,commented on stocktwits : i'm sure there is a $ ng_f warm front coming thru n this is a one-off event like $ aapl ... URL
5047,rt AT_USER one more thing . $ aapl $ aapl $ aapl $ aapl $ aapl $ aapl $ aapl $ aapl $ aapl $ aapl $ aapl $ aapl $ aapl $ aapl $ aapl $ aapl $ aapl $ aa …
5049,"iphone 6 : apple and mayo clinic partnership could be smart medicine "" URL via AT_USER $ aapl"
5058,pulse electronics shares spike higher ; note being passed around mentions ... $ aapl $ nxpi $ puls URL via AT_USER
5069,"$ aapl watch & pay : what they could mean for airports , airlines & passenger experience URL < 2.0 will be embedded on skin"
5071,imagine how the critics would react if $ msft put out that $ aapl watch .
5098,AT_USER yo $ aapl above $ 100.84 here ... trying to tae out $ 104
5105,"apple watch went through millions of versions to satisfy users at large , says jony ive .. URL $ aapl tech stocks"
5117,rt AT_USER i'm not leaving until i hear about appletv . $ aapl
5124,$ aapl down graded by pacific crest - there will be more stockpicks stockstowatch URL URL
5131,how's the ole ' $ aapl position holding up AT_USER ?
5133,how apple inc . ' s watch unveiling is a great example of selling the news $ aapl via AT_USER URL
5145,apple delivered in a generational way : URL $ aapl via AT_USER AT_USER
5153,investing news 9/11 $ five $ pay $ aapl $ orex five pay aapl orex URL
5161,imagine the impact if $ aapl was to license the payment system out to all other manufacturers . would be something ! profitable too i'm sure .
5169,$ gs updated chart $ spy $ ulta $ aapl $ qqq $ pcln $ goog $ tsla URL
5181,"rip : the apple ipod , 2001-2014 .. URL $ aapl tech stocks"
5182,"rt AT_USER friday follies - gop saves the kleptocracy , will that give us new highs ? $ spy $ dia $ qqq $ aapl $ ewg iphone 6plus - - htt …"
5190,techrewind : apple ’ s iphone 6 plus already sold out URL via AT_USER $ aapl
5191,bullishness in $ aapl dropped 72.7 % compared to past 48hr bullish average of 1.73 on a scale of 0-4
5192,rt AT_USER rumor : google inc to buy 40 % stake in ebay inc at $ 68 / share $ aapl $ amzn $ ebay URL via AT_USER
5194,"AT_USER $ aapl should be in the dow , great point today on fm . i added more shares today ."
5196,report : apple ’ s timing of ‘ apple pay ’ and nfc capabilities ‘ brilliant ’ $ aapl aapl URL
5200,"iphone 6 plus pre-orders sold out , smaller iphone 6 still shipping on schedule URL $ aapl , $ t , $ vz , $ s"
5207,"this article from 2010 sums up $ lqmt today - even the idea $ aapl would never call it out but rather "" better iphone "" URL"
5219,"rt AT_USER AT_USER oh sure , for years people have bugged $ aapl about greater transparency . and now that they've delivered , complain complai …"
5226,"rt AT_USER active puts @ cboe ; $ aapl 8/ 29/14 102 , sep 104 & nov 110 $ rsh sep & oct 1"
5230,that last quote is from AT_USER ' s colum for bloomberg view : has apple lost china ? URL via AT_USER $ aapl china iphone
5256,"trade - - $ aapl : enter long at 100.24 , date = 9/16 / 2014 , time = 10:11 : 53:0"
5261,"AT_USER $ aapl as i can see lots of expectations .. take jan leaps prolly "" jan 2015 ? jan 2016 ? or jan 2017 ?"
5262,"y ahora he comprado $ aapl a 100,10 $ con stop en 99,70 y objetivo cerrar el hueco de ayer.tarde completita"
5267,"is $ aapl in the midst of another super-cycle ? happened with the ipod , then the iphone , and the ipad . my target price is set at $ 123 ."
5274,$ aapl has 17 analyst ratings in the last 7 days . median target : $ 110 . view here : URL aapl
5277,"rt $ aapl algos erased today's all gains , in negative territory , p / t 99.20 $ lnkd $ pcln $ bidu $ goog $ fb $ twtr $ tsla $ amzn $ bbry $ nflx $ qqq"
5285,"investors , trading . $ tsla , $ fb , $ aapl , $ tsla sentiment calm after hours ."
5289,solid ta $ aapl $ amzn courtesy AT_USER | via AT_USER - link : URL cc : AT_USER URL
5294,"rt AT_USER $ aapl next apple press event targeted for mid - to late october , source says URL AT_USER"
5314,what we know about apple's healthkit .. URL $ aapl tech stocks
5319,URL $ aapl is serious about privacy in ios 8 . nsa take that . could be selling feature .
5332,$ aapl red on product launch day
5347,rt AT_USER streets are a mess in $ aapl line including bags of feces . security presence is higher .
5349,看到同事们都在聊 $ baba $ bidu $ goog $ aapl $ amzn 我默默地关掉了窗口 …
5366,"$ aapl after apple's record setting launch , analysts predict iphone 6 will win over android switchers ... URL"
5376,apple iphone 6 and iphone 6 plus selling in u . s . stores and could break opening weekend record $ aapl aapl URL
5394,AT_USER $ aapl i said last week this was going to happen.kids bend an iphone 6 plus in apple store URL $ bbry
5396,update 2 - eu watchdog to give detail on apple and fiat tax investigations . $ aapl . URL
5420,"rt AT_USER apple's iphone 6 a8 gpu destroys galaxy s5 , htc one m8 , moto x & nexus 5 / w fewer , slower cores & much less ram $ aapl URL"
5421,rt AT_USER bill and chuck's incredible journey - apple's blowout launch weekend revisited URL $ aapl apple
5429,"t3 live daily recap end of the quarter , whats next ? URL $ baba $ cybr $ loco $ gpro $ mbly $ aapl $ fb $ twtr $ nflx $ lnkd $ tsla"
5441,$ aapl steve dowling takes over as interim apple pr head URL AT_USER
5442,AT_USER nice late day rally in $ aapl .
5444,market correction wont be done until there is some real selling in stocks like $ aapl and $ cmg
5447,rt AT_USER apple - fibonacci technicals levels - intraday update - $ aapl aapl URL
5455,eu closes telecoms investigation but remains vigilant URL $ ora $ dte $ tef $ aapl $ googl $ nflx
5456,"AT_USER curious what's her AT_USER ? deutsche bank downgrades $ aapl for "" no catalyst"
5459,rt AT_USER next $ aapl level $ 102 like db said ? ! ;) then we'll wait for upgrade :)
5470,monitor your watchlist of assets for tweets - us tech giants URL $ msft $ twtr $ aapl $ fb $ goog
5474,rt AT_USER $ hhse we are going to provide continuous coverage until it hits . 10 ! URL $ unis $ dgly $ isns $ aapl $ twtr $ …
5475,apple pay : a semi-monopoly on the real killer app URL $ armh $ ma $ v $ aapl
5507,rt AT_USER market and meaning – the week ahead 10/6 / 14 URL $ tsla $ xom $ aapl $ bond $ nflx $ fb $ ebay URL
5511,$ aapl rt AT_USER tmrw we ’ ll be sending an open letter to AT_USER believe it will be interesting .
5517,"rt AT_USER the quantpost ml option trade design system is here ! real-time analysis of $ gpro , $ googl , $ spy , $ tsla , $ aapl , ... URL"
5520,AT_USER closing box vote app . URL AT_USER AT_USER AT_USER AT_USER AT_USER $ aapl
5525,"rt AT_USER mid-week update 10.5 . 14 : $ spy , $ iwm , $ aapl , $ fb , $ twtr , $ googl , $ kors , $ pcln URL"
5528,"AT_USER "" it ’ s true , your honor . we never would have signed that contract with $ aapl if we didn ’ t think they ’ d cut us some slack ."
5534,"apple supplier gt to drop sapphire ops , asks bankruptcy plan remain secret .. URL $ aapl tech stocks"
5535,"rt $ tsla algos triggered buy @ 09:31 in sigma-x , crossfinder lts p / t 260.00 $ pcln $ bidu $ goog $ fb $ twtr $ amzn $ bbry $ aapl $ nflx $ qqq hft"
5541,oy : apple watch to make editorial debut in vogue china via AT_USER $ aapl oywatch wearables URL
5550,"1 . $ aapl proving that being long the biggest market cap liquidity in the world is still a "" safe "" place to hide"
5552,AT_USER come see what top traders are saying about $ aapl post your picks and climb the leaderboard ! URL
5562,apple's supplier contracts include $ 50m penalty for leaking future product info $ aapl aapl URL
5579,"rt AT_USER one analyst predicts google , not apple , will be the first $ 1 trillion company by market cap : URL $ goog $ aapl"
5586,AT_USER $ aapl is reporting earnings for q4 2014 on 10/20 / 14 – URL
5598,"rt $ qqq algos broke 91.70 level , p / t 90.00 $ msft $ pcln $ goog $ fb $ twtr $ tsla $ amzn $ gpro $ aapl $ nflx hft"
5606,"rt AT_USER top stock lookups on URL ysty : $ aapl , $ nflx , $ bac , $ fb , $ spy , $ baba , $ intc , $ c , $ ge , $ tsla , $ vix , $ twtr , $ …"
5612,"rt AT_USER apple likely to unveil new ipads , mac system , at thursday event URL $ aapl URL"
5615,should i buy an ipad mini or a hazmat suit ? $ aapl or $ lake
5632,free demo on our new options web apps URL $ tsla $ aapl $ nflx $ gs $ hpq $ z
5647,auto trade stats updated URL $ baba $ twtr $ lnkd $ fb $ aapl $ nflx investors nasdaq ask for 2 weeks trial for autotrading
5661,rt AT_USER here's a list of the 50 largest companies set to report earnings next week : URL $ aapl $ ibm $ amzn $ yh …
5679,rt AT_USER aapl killed it “ AT_USER apple $ aapl q4 earnings are out URL
5683,commented on stocktwits : i'm not sure where you are getting your info from . $ aapl URL URL
5696,"for got to include link : $ aapl a 1 minute chart with blue arrow identifiers you can open with thinkorswim "" URL"
5701,"$ axp $ aapl apple pay "" card "" allows you to see last few transactions by tapping the card image ."
5711,"rt AT_USER alert : greenlight's david einhorn will be on AT_USER on tuesday . what does he think of $ mu , $ aapl and the sto …"
5726,rt : apple's blow-out earnings : what the analysts are saying URL / search ? q = $ aapl & src = ctag URL
5746,rt AT_USER some earnings $ ibm $ aapl $ cmg $ mcd $ cree $ vmw $ yhoo $ biib $ nxpi $ now $ yelp $ dnkn $ ua $ amzn $ deck $ msft $ p $ ups URL
5750,AT_USER AT_USER AT_USER AT_USER $ aapl above 103 gets shorts to cover up . on $ spy n $ aapl .
5757,rt AT_USER could apple's shares be reaching their peak ? this lone bear thinks so : URL $ aapl URL
5768,"rt AT_USER miss it asia ? closing bell happyhour 10/21 $ djia up $ aapl apple up $ ko coca-cola fizzles , harley-davidson $ hog roars …"
5773,rt AT_USER what will $ aapl pay mean for retailers & consumers ? AT_USER marc freed-finnegan breaks it down on AT_USER ht …
5780,rt AT_USER carl icahn talks with bloomberg at robin hood conference [ full transcript ] URL $ aapl $ ebay
5786,$ unh shares click here : URL also see : $ abbv $ cmrx $ aapl $ clf ~
5788,$ hpnn bid click here : URL also see : $ aapl $ sh $ smh $ mnst ~
5792,rt AT_USER $ aapl received a new alert . find out why at URL stocks daytrading trading mkt nyse nasdaq ma …
5798,trading mentorship and analysis only @ equity sense URL deals $ aapl $ tsla $ baba $ gpro $ eurusd $ es_f
5805,rt AT_USER retirement strategy : sometimes it's easy to put cash to work URL $ aapl apple $ cvx $ ge $ jnj $ ko $ mcd $ …
5806,"rt AT_USER buy apple and sell google , says AT_USER $ aapl $ goog URL"
5809,"AT_USER $ msft sold 9.3 m nokia smartphones ( i mean lumia ) $ bbry sold 2.1 m $ aapl sold 39.3 m . are those sales # are weekly , monthly , qt ?"
5814,4 cent positive tilt on $ aapl  indecision bar . signs of exhaustion or retest of dashed midpoint ? 1.61 / 1buyers URL
5816,rt AT_USER $ poil : buy : 0.01 - 0.02 sell : 0.06 - 0.10 up to 800 % gain potential $ siri $ ibio $ myec $ spy $ aapl $ baba URL
5819,"options simulation with price , time and volatility URL $ aapl $ googl $ pcln"
5824,rt AT_USER $ aapl expected peak around 105.75 then it has to visit 102.5
5826,here's my video URL stock mkt analysis for wk ending 10/24 / 14 $ spy $ aapl $ ibb $ tlt $ qqq $ iwm $ baba $ xlf $ nflx $ ibm
5830,rt AT_USER 1 - in - 20 germans have a credit card . the average american has 2.2 cards . AT_USER applepay $ aapl
5831,+ 640on $ gpro 2day were short $ dpz $ cbrl $ gmcr $ rgls $ rt $ fb $ ulta $ isrg $ aapl $ gild long $ crr $ clb $ pir $ fwm nite all URL
5843,AT_USER we are making the move to AT_USER reserve your name URL and join us ! $ aapl $ googl $ tsla
5854,$ aapl and $ baba hit new all-time intraday highs on news of interest in a partnership . jackmaeffect ?
5855,main issue for $ invn is pricing pressure / mix at $ aapl / samsung - double-edged sword .
5857,video : sideways chop today - $ aapl $ dia $ qqq $ iwm $ tsla $ nflx URL URL
5859,"$ coh $ pfe $ dd $ aapl $ fb $ twtr u . s . morning call : facebook reports ; twitter slashed , thomson reuters : reuters insider URL"
5861,"on low cost iphone for africa , cook : “ we ’ ll go as low as we can while maintaining the customer experience . ” that's a no $ aapl"
5877,$ aapl please go down 5 % pleaseeeee
5880,"rt AT_USER looks like $ hive had to retract their pr yesterday & added that they "" donated "" in support of $ aapl , what scumbags h …"
5886,rt AT_USER URL dennyt : one press releases $ one $ pmbsd $ inar $ aapl $ trtc : dennyt URL URL
5887,AT_USER nice job AT_USER - balanced views $ aapl AT_USER tim - i bend ... but i don't break - cook
5902,"$ aapl - market snapshot : u . s . stocks : s & p 500 , dow hit record levels URL"
5904,rt AT_USER $ aapl is luring millennials into the stock market . URL $ tsla $ amzn $ baba
5910,"$ aapl - market snapshot : s & p 500 , dow close at record levels URL"
5911,rt AT_USER rt AT_USER $ aapl making some noise $ pmbsd $ vpor $ inar $ prdl $ sfor URL
5917,$ mine pre 10k - what to expect from minerco resources ' 10k URL $ twtr $ fb $ aapl $ mnst $ ko $ pep $ goog $ aria $ cytr $ loco $ p
5921,"rt AT_USER first $ aapl , now $ twtr : "" $ ibm and AT_USER announce landmark partnership : URL"
5929,"option millionaires : jobynimble : $ aapl headed to 120 next stop , imo ... URL"
5930,rt AT_USER $ aapl apple plans investor call ahead of a potential bond sale : wsj URL via AT_USER
5935,"$ aapl $ msft new-drug suits , microsoft , apple : intellectual property URL"
5946,rt AT_USER apple and google agree to a disney video deal . $ aapl $ goog $ dis URL URL
5949,"rt AT_USER check out my levels in weekend review video : $ spy , $ qqq , $ sox , $ iwm , $ aapl , $ fb , $ twtr , $ gild , $ googl , $ nflx , $ tsla htt …"
5954,"don't sell apple just yet , says AT_USER there's still a 30 % upside : URL $ aapl"
5960,new post : extolling the virtues of $ qqq URL $ aapl $ msft $ goog $ fb
5971,rt AT_USER $ cgrw up 200 % - $ aapl $ baba $ gpro $ drys $ spy $ siri $ mjna $ bac $ indu $ spx traders take a look at picture attached URL
6004,apple iphone demand could hit record holiday high ... via AT_USER URL $ aapl
6005,"rt $ tsla algos broke 245 level in sigma-x , crossfinder , ats , lx p / t 240 $ baba $ bidu $ pcln $ goog $ fb $ amzn $ gpro $ nflx $ aapl $ qqq hft"
6016,rt AT_USER holidays may mean record demand for apple iphone . URL $ aapl URL
6030,are you hanging on to $ phm $ gm $ atml $ aapl must see URL
6055,rt AT_USER apple shares are pennies away from officially doubling since AT_USER took over as ceo . ( h / t AT_USER $ aapl …
6060,latest information on stocks like $ ksu $ vmi $ yhoo $ aapl visit URL
6062,"rt AT_USER what happened to all of the analysts who wanted you to "" trade "" $ aapl ? where did they go ?"
6063,"AT_USER "" when consumer buys $ aapl device , entering ecosystem , often incr exposure through incremental prod "" URL"
6069,$ twc are you bullish on these stocks $ msft $ aeo $ aapl view now URL
6086,best research on stocks such s $ gmt $ amd $ fisv $ aapl newsletter URL
6092,AT_USER $ amba $ aapl $ panw $ rpm $ tqqq
6105,undervalued stock news from analyst URL $ ntek $ aapl $ baba $ do $ esv $ hsgx
6107,rt AT_USER undervalued stock news from analyst URL $ ntek $ aapl $ baba $ do $ esv $ hsgx
6120,rt AT_USER a great month of swing trading in november & membership rate changes coming soon URL stocks $ aapl $ f …
6134,be ready for $ aapl to test the low made today in the coming days . easy short play .
6142,$ aapl anyone get shares / calls when it dipped down to $ 111 / $ 112 ? great time to btfmd !
6144,$ vmw stocks to watch this week $ apd $ jll $ aapl investing URL
6149,"$ aapl 38.2 % fib line on my 5 day chart is 114.51 . below that , my next projected target is 113.27 ( 23.6 % fib line ) ."
6158,are you considering buying $ jdsu $ mchp $ rsg $ aapl must have URL
6168,top stocks today . find out why . $ cco $ intc $ ahl $ aapl give it a try URL
6172,rt AT_USER $ aapl decw 1 116 put @ 1.5
6201,AT_USER AT_USER AT_USER AT_USER $ aapl thru 116.40 get it moving in hurry to 117-118
6229,"the iphone 6 may have a longer upgrade cycle - if so , expect unit sales to fall URL $ aapl"
6231,AT_USER way to go ! here is why URL you are leading your $ bbry $ aapl f7ea9 takethisbet
6239,taiwan accuse des marques de smartphones de violer la vie privée URL $ 2498 $ aapl
6251,stocks i'm keeping my eye on ... should you ? $ avy $ expe $ so $ aapl try this URL
6258,are you considering buying $ wcn $ wdr $ ibkr $ aapl stockmarket URL
6277,small-cap stocks breaking 52 - wk high prices $ expd $ mfa $ els $ aapl give it a try URL
6281,rt AT_USER stock analyst finds best options strategies . $ aapl $ baba $ amzn $ fnma URL
6287,rt AT_USER rumor - $ aapl to take a 25 % stake in $ twtr for $ 47 a share .
6291,rt AT_USER AT_USER only trading above 112.75 will confirm we had a bottom intraday - $ aapl
6304,"AT_USER tiernan , why no coverage of citi upgrade of $ aapl ?"
6319,small-cap stocks breaking 52 - wk high prices $ cfn $ emn $ wfc $ aapl wallstreet URL
6331,not sure this is best use of cash ... $ aapl spending almost all its us cash reserves on dividends and stock buybacks URL
6334,don't get caught sleeping on $ aapl remember what happened yesterday .
6337,rt AT_USER $ aapl $ nq_f 2nd support = 112.76 . current low = 112.76 . URL
6344,alibaba group and apple inc : a match made in heaven ? $ aapl URL
6351,this weeks stocks you should watch $ sbux $ upl $ ual $ aapl singedinvestor URL
6355,$ aapl without pullback so far
6356,$ bms great stock newsletter on $ lvlt $ psx $ aapl check out URL
6357,$ fitb here are some stocks to watch $ amtd $ amd $ aapl click URL
6362,rt AT_USER preparing for the afternoon trades $ aapl $ fb $ amzn $ tsla URL thecoachsroster
6365,we have re-entered 12/2 ' s range in $ nq_f ... $ aapl
6366,"rt AT_USER google shares pricing in loss of apple search deal , says citigroup $ goog $ googl $ aapl $ yhoo $ msft $ bidu : full story URL"
6368,lookn 4wins : aapl +1.35 % stock charts $ aapl apple inc . URL
6380,tech giants join microsoft's privacy fight against justice department URL via AT_USER $ msft $ aapl amzn $ vz $ t
6381,$ res small-cap stocks making 52 - wk highs $ tri $ mtw $ aapl view now URL
6396,AT_USER re : AT_USER my thoughts on that point . URL > compelling position . $ aapl $ intc cc AT_USER
6411,are you looking to buy $ bk $ tpx $ ame $ aapl nasdaq URL
6427,$ q do you think you should hold $ mrc $ srcl $ aapl nse URL
6436,URL read_this_n 0w : followed $ aapl jan 120c at . 42 : read_this_n 0w URL URL
6438,rt AT_USER $ aapl coperman on cnbc says he's sold but aapl has more upside
6439,bad invesments like got you down $ bokf $ isrg $ gef $ aapl personalfinance URL
6445,"$ aapl stochs crossing , rsi low , cleared the 50 dma , strong volume . and morning star confirmed ."
6449,rt AT_USER “ AT_USER twitter and foursquare could be teaming up in 2015 URL or $ aapl should snap them b …
6453,rt AT_USER $ adbe $ lulu $ aapl $ googl $ fb $ twtr $ yhoo $ bbry option اوبشن فرصه عقد شهري $ psx call 70 17jan15 op : 2.15 $ الشهر القادم
6469,would you like great research on stocks $ ssys $ rvbd $ bre $ aapl give it a try URL
6473,rt AT_USER $ adbe $ lulu $ aapl $ googl $ fb $ twtr $ yhoo $ bbry option اوبشن اللي يبي دوره في الاؤبشن ريتويت نشوف العدد يشجع
6480,"$ aapl by itself is 31 % of ^ ndx nasdq 100 , if $ aapl wakes up and pushes dd , we may get ^ ndx to push $ spx even higher friday . go $ aapl go !"
6489,stocks i'm keeping my eye on ... should you ? $ aapl $ rs $ btu $ cadx money URL
6492,"grabbed some $ aapl in ah . broke out of a descending wedge . wonderful company , cheaply priced stock"
6496,rt AT_USER my video URL stock mkt analysis 12/12 / 14 $ spy $ qqq $ uso $ gld $ baba $ aapl $ gpro $ infn $ nvax $ iwm
6497,rt AT_USER $ aapl $ googl $ goog $ fb $ yhoo options اوبشن تداول مستشارك_المالي بخصوص اليوم الأول من الدوره نشكر جميع من حضر ونعتذر لإق …
6498,rt AT_USER $ aapl $ googl $ goog $ fb $ yhoo options اوبشن تداول الداو_جوز تذكير الخميس اجازه والجمعه نصف دوام السوق الأمريكي مستشا …
6504,rt AT_USER $ aapl $ googl $ goog $ fb $ yhoo options اوبشن النفط تداول الداو_جوز انتهى اليوم الثاني من الدوره بفضل الله بالتوفيق مستش …
6505,50 stock market predictions crowdsourced from the entire stocktwits community URL $ spy $ aapl $ fb $ iwm
6508,"shout out to AT_USER in our post tonight : "" gap ups and the week ahead "" URL $ spy $ iwm $ aapl $ baba $ yhoo"
6515,rt AT_USER $ aapl $ googl $ goog $ fb $ yhoo options اوبشن النفط تداول الداو_جوز تحليل برنت يستهدف ٦٣.٢٠ $ مستشارك_المالي URL
6519,rt AT_USER $ aapl $ googl $ goog $ fb $ yhoo النفط تداول الداو_جوز فرصه انتحاريه هذا الاسبوع $ z put 102 op : 45cent مستشارك_المالي URL
6561,URL hot lunchtime reads 12/29 : $ aapl $ msft $ xgti $ psx URL
6567,"rt AT_USER sites set on nasdaq 5,000 : $ qqq $ spy $ aapl $ gmcr $ mnst $ gild $ msft $ csco - - URL URL"
6573,apple : stifel tracks jump in ‘ velocity ’ of iphone production $ aapl aapl URL
6575,"rt AT_USER apple accounted for 51.3 % of all smartphone , tablet activations from 12/19- 25 : flurry . URL $ aapl close : …"
6577,> > > prioritize this task before buying your next individual stock > > > URL $ fb $ twtr $ gpro $ lnkd $ tsla $ nflx $ aapl
6599,"c.gillis ' $ 103 $ aapl tgt ? , $ aapl watch & tv still to come . rebalancing ye 2014 institutonal ( 2/3 ) & retail profits ( 1/3 ) ' 15vs ' 14 done"
6632,rt AT_USER top searched stocks of 2014 URL via AT_USER $ aapl $ fb URL
6634,sentishiftdown $ usd $ mnst $ aapl $ baba $ abx $ wag $ kbh $ msft $ gild $ spy sentiquant 2015010 5 05:00 : 12:438
6638,"$ aapl a break below $ 108 “ should warn of lower prices , ” while a drop below $ 106.26 “ may warn of a retest of $ 100 . ” URL"
6648,"$ dish offers $ 20 - per-month internet tv service w espn , cnn URL cablebundle = humptydumpty is $ aapl tv next ? $ dis $ twc"
6660,AT_USER AT_USER AT_USER picking up some $ aapl .
6663,"rt AT_USER $ aapl top oi change : mar . 20 , 2015 call 130.00 : +20.099 | mar . 20 , 2015 call 110.00 : +11.422 | jan . 09 , 2015 call 107.00 …"
6678,rt AT_USER nomura : how losing apple could hurt google $ aapl $ goog $ googl URL via AT_USER
6679,rt AT_USER really mindblowing rt AT_USER $ aapl almost 2x bigger than $ xom
6686,". AT_USER $ aapl +4.75 since this add on 1/5 taking 3rd off , holding rest"
6708,"rt AT_USER 8 years ago today , this happened — AT_USER $ aapl URL URL"
6720,logging in now to live stock chat URL $ goog $ aapl $ fb $ ebay options stocks daytrading URL
6724,$ aapl happy eighth birthday to the iphone URL AT_USER
6736,$ aapl test new lod ?
6738,rt AT_USER $ aapl - how apple watch could spawn wave of tech startups URL
6747,$ aapl ripping heads off
6758,rt AT_USER says a lot when $ gpro is down 13 % on $ aapl just getting a patent .
6761,"$ aapl top oi changes : jan . 30 , 2015 call 105.00 : -7.647 | jan . 23 , 2015 call 110.00 : +5.189 | jan . 17 , 2015 call 115.00 : -5.164 contracts"
